date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,13.3,10.3,16.4,6.4,0,217,22.3,,1013.7,6
2023-01-02,10.8,7.2,13.9,2.6,0,227,20.1,,1015.7,0
2023-01-03,7,4.7,8.7,3.8,0,223,14.7,,1026.3,168
2023-01-04,9.8,6.4,12.3,13,0,226,28.8,,1015.1,0
2023-01-05,9.5,8.6,10.9,1.5,0,252,19.3,,1017.3,0
2023-01-06,9.9,9.1,10.9,1.5,0,227,18,,1017.4,18
2023-01-07,9.8,8.7,11.1,0.1,0,189,16.2,,1012.8,12
2023-01-08,9.2,7.2,10.7,6.8,0,197,18.8,,1002.2,180
2023-01-09,6.8,5.5,8.5,2.3,0,222,18.7,,998.8,12
2023-01-10,5.9,5,7.3,4.8,0,221,20.2,,1014.7,6
2023-01-11,8.9,6.9,10.4,9.3,0,222,23.8,,1009.4,24
2023-01-12,9,7.5,10.1,25.1,0,225,31.3,,1005.7,0
2023-01-13,8.2,6.4,10,0.1,0,236,27.8,,1005.4,12
2023-01-14,7.8,6,10.7,20.2,0,214,25.8,,1006,0
2023-01-15,6.1,5,7.2,0.3,0,234,28.4,,998.7,36
2023-01-16,4.5,3.2,5.6,3.7,0,177,20.3,,986.7,24
2023-01-17,1,-4,3.4,0.1,0,239,17.3,,985.7,78
2023-01-18,-1.3,-5.7,1.9,0,0,217,12.4,,995.6,174
2023-01-19,1.3,0.5,2.6,2.8,0,235,18.2,,1003.8,36
2023-01-20,-0.1,-5.1,2.6,0,0,185,10.7,,1016,30
2023-01-21,-1,-5.4,1.2,0.8,0,28,13.5,,1029.9,0
2023-01-22,0.5,-0.4,1.3,1,20,23,15.6,,1031.5,0
2023-01-23,1.7,1.1,2.6,0,0,57,11,,1037,0
2023-01-24,1,-0.4,1.8,0,0,76,10.4,,1039.5,0
2023-01-25,-1.3,-2.8,-0.2,0.1,0,213,7.9,,1032.9,0
2023-01-26,-0.4,-2.5,2.7,1.3,0,280,8.9,,1023.8,0
2023-01-27,2.4,0.2,3.6,0.2,0,24,15.1,,1026.2,0
2023-01-28,-0.3,-2.6,1.7,0,0,314,6.9,,1029.8,192
2023-01-29,0.3,-1.4,2.4,4.9,0,230,17.9,,1025.9,6
2023-01-30,4.9,2.4,6.8,1.6,0,269,26.9,,1014.7,48
2023-01-31,4.5,2.3,6.7,5.2,0,254,23.6,,1019.2,0
2023-02-01,5.2,4.1,6.3,3.3,0,262,27.9,,1015.3,0
2023-02-02,4.8,3.5,7.8,12,0,256,16.4,,1021.1,0
2023-02-03,7.7,5.7,8.9,2.1,0,275,25.9,,1022.3,0
2023-02-04,3.5,-2.6,6.2,0.1,0,62,9.9,,1035.5,324
2023-02-05,2,-2.7,5.3,5.7,0,28,11.3,,1036.5,0
2023-02-06,0.5,-4.1,4.7,0,0,11,9.9,,1041,12
2023-02-07,-1.7,-5.9,4.9,0,0,127,7.3,,1041.2,504
2023-02-08,-1.1,-6.3,6,0,0,147,9.1,,1038.2,510
2023-02-09,0.6,-5.1,4.1,0,0,211,13.3,,1032.8,372
2023-02-10,3.8,1.6,6.3,0,0,237,16.3,,1035.4,132
2023-02-11,6.6,5.2,7.8,0.1,0,252,17.7,,1033.5,0
