date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-0.6,-4.4,3.8,0,0,,,,,156
2020-01-02,-0.5,-5.2,4.8,0,0,,,,,0
2020-01-03,6.9,4,9,4.2,0,,,,,0
2020-01-04,4.2,-1.4,6.3,3.4,0,,,,,0
2020-01-05,3.8,-1.4,6.3,0,0,,,,,0
2020-01-06,4.7,1.6,5.9,0,0,,,,,30
2020-01-07,5.7,3.6,7.5,0,0,,,,,6
2020-01-08,9,6.5,10.6,6.1,0,,,,,0
2020-01-09,11.2,9.3,12.6,5.7,0,,,,,0
2020-01-10,7.4,3.2,11.6,0.6,0,,,,,0
2020-01-11,3.9,1.6,5.9,0,0,,,,,72
2020-01-12,5.5,3.3,8,3.6,0,,,,,0
2020-01-13,7,6.2,8.3,0.1,0,,,,,24
2020-01-14,10.1,8.1,11.6,0,0,,,,,0
2020-01-15,11.4,6.9,12.9,0.8,0,,,,,252
2020-01-16,7.5,2.7,11.4,0,0,,,,,396
2020-01-17,8.2,5.6,10.9,1.6,0,,,,,168
2020-01-18,4.2,2.1,6.4,2.6,0,,,,,6
2020-01-19,2.9,1.3,5.5,0.7,0,,,,,90
2020-01-20,2.9,0.4,4.2,0,0,,,,,30
2020-01-21,1.6,-1.5,4.6,0,0,,,,,420
2020-01-22,1.5,-1.9,3,0,0,,,,,0
2020-01-23,1.5,-3.1,5,0,0,,,,,60
2020-01-24,-1.1,-4.1,0.1,0,0,,,,,0
2020-01-25,-0.4,-1.1,0.7,0,0,,,,,0
2020-01-26,2.4,-0.7,7.3,0.1,0,,,,,180
2020-01-27,7.2,5.5,8.9,7,0,,,,,0
2020-01-28,4.7,1.9,7.1,5.6,0,,,,,0
2020-01-29,4.1,3.5,5.1,0.5,0,,,,,12
2020-01-30,7.3,4.3,10.6,1.9,0,,,,,48
2020-01-31,11.2,10,12.4,0.2,0,,,,,132
2020-02-01,10.7,8.1,12.2,7,0,,,,,0
2020-02-02,7.8,6.2,9.8,17.5,0,,,,,0
2020-02-03,8.9,5.1,10.3,10.5,0,,,,,42
2020-02-04,4.1,2.7,5.6,2.3,0,,,,,120
2020-02-05,3.1,-1.9,6.1,0,0,,,,,486
2020-02-06,3.7,1.3,5.3,0,0,,,,,0
2020-02-07,4.7,1.9,7.9,0,0,,,,,384
2020-02-08,6,0.3,9.8,0,0,,,,,84
2020-02-09,10.5,7.6,13.1,14.8,0,,,,,30
2020-02-10,7.6,3.5,11.1,6.4,0,,,,,72
2020-02-11,4.6,2.7,6.7,0.5,0,,,,,120
2020-02-12,4,2.4,6.2,0,0,,,,,60
2020-02-13,3.6,2.5,5.3,9,0,,,,,0
2020-02-14,6.2,5.3,7.9,0.4,0,,,,,0
2020-02-15,8.7,5.4,12.5,0.2,0,,,,,372
2020-02-16,13.2,7.5,18,8.7,0,,,,,0
2020-02-17,7.8,6.2,10.6,8.6,0,,,,,108
2020-02-18,6.5,3.8,7.8,9.8,0,,,,,102
2020-02-19,5.2,3.2,7,1.3,0,,,,,54
2020-02-20,6.9,4.1,9.6,6.8,0,,,,,12
2020-02-21,6,3,8,0,0,,,,,108
2020-02-22,8.5,6.2,10.1,12.3,0,,,,,6
