date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.9,4.2,8.4,14.9,0,222,24.2,,1003.4,
2024-01-02,8.5,5.4,11.6,19.6,0,198,23.4,,993.8,
2024-01-03,9.3,7.7,11.5,6.9,0,234,30,,988.6,
2024-01-04,5.5,4.1,8,5.8,0,280,15.1,,1000.2,
2024-01-05,6.4,4.3,8.8,2.4,0,177,16.9,,1000.3,
2024-01-06,3,-0.1,5.7,0.8,0,253,11.4,,1008.1,
2024-01-07,-1.4,-3.3,0,0,10,44,19,,1023.7,
2024-01-08,-3.4,-5.7,-2.2,0,0,49,19.9,,1032.3,
2024-01-09,-5.6,-7.9,-2,0,0,57,17.4,,1035.4,
2024-01-10,-5.7,-8.8,-1.9,0,0,58,13,,1032.3,
2024-01-11,-4,-8.7,0.3,0.1,0,341,6.4,,1033.4,
2024-01-12,0.3,-0.1,1.3,0.3,0,260,9.8,,1031.6,
2024-01-13,1.8,1.2,2.5,4.1,0,250,19.1,,1020.7,
2024-01-14,1.2,0.4,2.1,3.5,0,247,22.1,,1007.4,
2024-01-15,0.8,0.4,1.5,2.3,0,261,23.2,,999.7,
2024-01-16,-0.2,-2.5,0.7,0.1,0,236,18.1,,1007.1,
2024-01-17,-2.2,-4,-0.8,0,0,170,9.2,,994.7,
2024-01-18,-1.6,-5.9,2,0.8,0,296,9,,999.5,
2024-01-19,-0.6,-2.3,0.9,0,30,232,17.9,,1017.6,
2024-01-20,0,-1.8,2.6,0,10,222,18.6,,1027.6,
2024-01-21,2.8,-2,6.7,1.2,0,198,23.6,,1021.4,
2024-01-22,8.3,5.1,10.7,11.8,0,229,33,,1009.1,
2024-01-23,6.6,4.7,9.5,11.7,0,239,26,,1019.6,
2024-01-24,10.1,7.9,12.3,0.9,0,254,33.6,,1016.3,
2024-01-25,6.4,4.6,8.1,1.4,0,245,15.9,,1027,
2024-01-26,7.7,3.7,10.7,6.9,0,245,22.7,,1023.1,
2024-01-27,3,-1.7,7.7,0,0,231,13.4,,1034.9,
2024-01-28,2.5,-3,9.8,0,0,155,13.2,,1031.1,
2024-01-29,4.9,-0.6,12.9,0,0,201,12.8,,1027.5,
2024-01-30,7.9,0.3,11.9,0.6,0,218,16.5,,1027.7,
2024-01-31,5.5,4.2,7,3.9,0,247,17,,1031,
2024-02-01,5.8,4.1,7.8,0.1,0,266,18.3,,1027.3,
2024-02-02,6.1,4.2,8.7,3.5,0,242,22.3,,1026.8,
2024-02-03,9.4,8.7,10.2,11.2,0,255,23.1,,1022.8,
2024-02-04,9.1,8.2,10.6,12.4,0,261,24.7,,1019.1,
2024-02-05,9.6,7.4,10.4,2.2,0,247,29.8,,1015.8,
2024-02-06,9.2,7.5,10.7,18.9,0,235,30.5,,1008,
2024-02-07,3.8,0,9.9,0.2,0,262,13.2,,1004.3,
2024-02-08,1.4,0.1,3.5,21.9,0,96,10.6,,1000,
2024-02-09,9.7,3,12.8,7.8,0,190,15.6,,987.5,
2024-02-10,10.2,6.3,13.6,0,0,138,11.2,,988.4,
2024-02-11,8.1,6.9,9.7,2.4,0,202,12.4,,990.6,
2024-02-12,6.7,4.2,8.8,5.3,0,245,14,,1003,
2024-02-13,5.8,3.6,8.4,4.2,0,220,16.7,,1016.6,
2024-02-14,9.5,7,11.7,11.6,0,217,20.5,,1016,
2024-02-15,12,10.2,13.6,8.4,0,202,15.1,,1015.8,
2024-02-16,11.9,9,15.6,0.9,0,220,17.9,,1013.8,
2024-02-17,10.1,8.4,12.8,0,0,264,12.6,,1029,
2024-02-18,8.9,7.8,9.9,15.6,0,205,19.4,,1025.6,
2024-02-19,8.2,6.7,10,2.2,0,270,20.7,,1023.1,
2024-02-20,7.9,6.3,9.2,0,0,250,18.2,,1025.5,
2024-02-21,8.7,7.6,10,9.9,0,217,22.5,,1014.6,
2024-02-22,10.2,7.7,12.9,3.5,0,203,23.9,,990.5,
2024-02-23,6.6,4.8,8.7,0.2,0,210,24.9,,992,
2024-02-24,5.2,2.9,8,3.5,0,190,15.3,,999.8,
2024-02-25,5.3,-0.1,8.6,0.1,0,178,15.7,,1002.6,
2024-02-26,4.4,-0.4,7.2,0,0,49,17.3,,1005.8,
2024-02-27,3.1,-1.5,6.2,0,0,35,11.8,,1017.3,
2024-02-28,1.3,-2.3,5.2,0,0,212,9.6,,1020.9,
2024-02-29,7.5,1.3,11.9,0,0,178,15.4,,1012.4,
2024-03-01,7.5,4,10.4,0,0,177,15.5,,1004,
2024-03-02,8.6,3.6,14.2,0,0,151,15.6,,1003.3,
2024-03-03,7.8,2.1,14.5,0,0,89,12.1,,1002.4,
2024-03-04,5.4,0.7,7.5,0,0,260,7.3,,1009.5,
2024-03-05,7,4.9,9.8,0.6,0,74,8.2,,1014.6,
2024-03-06,6,3.6,8.6,0,0,72,9.9,,1022.6,
2024-03-07,3.3,-0.7,7,0,0,71,14.2,,1025.1,
2024-03-08,3.8,-2,9.4,0,0,90,16.7,,1016.4,
2024-03-09,4.6,-0.7,10.5,0,0,98,14.6,,1005.7,
2024-03-10,5.6,-1,10.5,0.3,0,65,17.5,,999.2,
2024-03-11,7.5,5.1,9.5,0,0,144,14.2,,1001.8,
2024-03-12,6.9,2.1,8.4,0.4,0,213,12.1,,1013.1,
2024-03-13,7.3,0,11.2,0.3,0,196,12.6,,1015.2,
2024-03-14,12.9,10.1,18,0,0,204,13.8,,1012.8,
2024-03-15,12.7,10.6,16.1,4.6,0,220,19.2,,1008.2,
2024-03-16,8.2,2,10.8,1,0,271,17,,1016.5,
2024-03-17,6.8,0.5,12.1,0.1,0,146,8.4,,1022.7,
2024-03-18,8.3,5.4,10.6,0.4,0,159,9.8,,1017.1,
2024-03-19,9.3,3,16,0,0,194,8.9,,1018.9,
2024-03-20,12.3,6.8,18.2,0,0,204,8,,1019.3,
2024-03-21,9.9,7.7,11.8,0,0,279,12.8,,1021.6,
2024-03-22,10,6.8,13.1,9,0,247,18,,1016,
2024-03-23,6.2,3.5,10.3,4.2,0,252,17.1,,1007.6,
2024-03-24,5.3,3.8,7.4,15.5,0,245,26.2,,1001.8,
2024-03-25,5.7,0.7,10.4,0.2,0,242,13.1,,1005.6,
2024-03-26,6.5,0.4,12.3,0,0,128,14.2,,995.3,
2024-03-27,9,3,15.1,10.3,0,218,11.2,,987.7,
2024-03-28,7.8,6,11.3,7.6,0,202,16.5,,988.8,
2024-03-29,10.3,6.4,14.4,1.6,0,189,19.4,,996.2,
2024-03-30,12.3,6.9,18.9,0.3,0,175,14,,997.5,
2024-03-31,10.6,5.5,16.3,1.7,0,77,8.8,,998.8,
2024-04-01,9.8,8.4,13,8.9,0,222,13.1,,995.9,
2024-04-02,9.8,8.6,12.2,4.8,0,238,23.5,,1005,
2024-04-03,10.4,8.5,12,3.8,0,211,15.2,,1006.2,
2024-04-04,11.4,8.6,14.7,7.8,0,224,21.7,,1006.4,
2024-04-05,14.1,10.5,17.1,1.4,0,213,20.1,,1010.1,
2024-04-06,19.5,12.7,26,0,0,191,15.2,,1012.4,
2024-04-07,18.1,13,22.5,4.4,0,213,17,,1013.5,
2024-04-08,15.4,11.4,21.6,0.5,0,133,8.3,,1009.9,
2024-04-09,13.2,8.9,18.9,1.9,0,215,21.2,,1009.3,
