date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,12.5,10.7,14,1.1,0,217,16.6,,1022.3,12
2022-01-02,11.6,8.8,13.6,6.9,0,223,21.8,,1012.9,6
2022-01-03,9.3,8,10.5,0.3,0,242,25.5,,1007.8,12
2022-01-04,6.5,3.4,8.5,2.5,0,241,14,,997.4,0
2022-01-05,3.3,1,5.5,7.3,0,254,20.9,,1001.5,0
2022-01-06,2.1,-1,4,0.6,0,246,12.1,,1016.4,336
2022-01-07,2.4,0.6,4.3,3.2,0,216,19.5,,1011.1,0
2022-01-08,1.9,0.4,3.3,4.2,0,208,17.8,,1006,0
2022-01-09,3.8,2.1,5.3,3.9,0,236,17.3,,997.1,0
2022-01-10,2.3,-2.6,5.3,0,0,236,7.9,,1020.4,96
2022-01-11,0.3,-4.3,6.5,0,0,196,6.3,,1033.6,378
2022-01-12,2.8,1.8,4.3,0,0,237,10.6,,1038.4,78
2022-01-13,1.9,1.4,2.5,0,0,235,15.6,,1039.1,0
2022-01-14,2.5,1.1,3.9,0.1,0,244,12.9,,1034.8,0
2022-01-15,3.5,0.5,5.7,0,0,193,6.2,,1029.4,0
2022-01-16,3.1,-0.5,5.6,1.6,0,235,16.7,,1023.1,0
2022-01-17,6,4.7,8.4,0.4,0,289,19.5,,1029.3,0
2022-01-18,6,2.6,7.6,0,0,255,7.8,,1036.9,12
2022-01-19,2.2,-2.4,5.2,4.1,0,225,15.6,,1024.5,0
2022-01-20,2,0.1,4.1,2.4,0,297,19.7,,1023.6,66
2022-01-21,2.7,0.1,5.4,1.3,0,281,16.8,,1029.6,42
2022-01-22,5.6,4.7,6.8,0.6,0,293,13.1,,1030.7,0
2022-01-23,5,2.6,6.6,0,0,254,6.6,,1035.4,0
2022-01-24,4.5,3.3,5.4,0,0,199,3.9,,1034.9,0
2022-01-25,2.9,1.9,3.6,0,0,228,3.1,,1033.8,0
2022-01-26,2,1.2,2.7,0.3,0,238,14.7,,1030.8,0
2022-01-27,4.6,2.6,7.2,7.1,0,254,24.4,,1021.6,0
